IN0001,Einführung in die Informatik ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,"CH 21010, Hans-Fischer-Hörsaal (5401.01.101K) ",14.04.2023,14:15  ,16:15
IN0001,Einführung in die Informatik ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,"CH 21010, Hans-Fischer-Hörsaal (5401.01.101K) ",14.04.2023,16:15  ,16:45
IN0001,Einführung in die Informatik ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"101, Hörsaal 1, ""Interims I"" (5620.01.101) ",14.04.2023,13:30  ,14:15
IN0001,Einführung in die Informatik ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,"101, Hörsaal 1, ""Interims I"" (5620.01.101) ",14.04.2023,14:15  ,16:15
IN0001,Einführung in die Informatik ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,"101, Hörsaal 1, ""Interims I"" (5620.01.101) ",14.04.2023,16:15  ,16:45
IN0001,Einführung in die Informatik ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",14.04.2023,13:30  ,14:15
IN0001,Einführung in die Informatik ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",14.04.2023,14:15  ,16:15
IN0001,Einführung in die Informatik ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",14.04.2023,16:15  ,16:45
IN0001,Einführung in die Informatik ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"MW 1801, Ernst-Schmidt-Hörsaal (5508.02.801) ",14.04.2023,13:30  ,14:15
IN0001,Einführung in die Informatik ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,"MW 1801, Ernst-Schmidt-Hörsaal (5508.02.801) ",14.04.2023,14:15  ,16:15
IN0001,Einführung in die Informatik ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,"MW 1801, Ernst-Schmidt-Hörsaal (5508.02.801) ",14.04.2023,16:15  ,16:45
