MA0001,Analysis 1 ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"004, Hörsaal 1 ""Interims II"" (5416.01.004) ",23.02.2023,10:15  ,11:00
MA0001,Analysis 1 ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,"004, Hörsaal 1 ""Interims II"" (5416.01.004) ",23.02.2023,11:00  ,13:00
MA0001,Analysis 1 ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,"004, Hörsaal 1 ""Interims II"" (5416.01.004) ",23.02.2023,13:00  ,13:30
MA9409,Lineare Algebra (EI),Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,27.02.2023,13:30  ,14:15
MA9409,Lineare Algebra (EI),Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,27.02.2023,14:15  ,15:45
MA9409,Lineare Algebra (EI),Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,27.02.2023,15:45  ,16:15
MA9409,Lineare Algebra (EI),Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",27.02.2023,13:30  ,14:15
MA9409,Lineare Algebra (EI),Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",27.02.2023,14:15  ,15:45
MA9409,Lineare Algebra (EI),Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",27.02.2023,15:45  ,16:15
MA9409,Lineare Algebra (EI),Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"101, Hörsaal 1, ""Interims I"" (5620.01.101) ",27.02.2023,13:30  ,14:15
MA9409,Lineare Algebra (EI),Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,"101, Hörsaal 1, ""Interims I"" (5620.01.101) ",27.02.2023,14:15  ,15:45
MA9409,Lineare Algebra (EI),Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,"101, Hörsaal 1, ""Interims I"" (5620.01.101) ",27.02.2023,15:45  ,16:15
MA9409,Lineare Algebra (EI),Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",27.02.2023,13:30  ,14:15
MA9409,Lineare Algebra (EI),Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",27.02.2023,14:15  ,15:45
MA9409,Lineare Algebra (EI),Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",27.02.2023,15:45  ,16:15
MA9409,Lineare Algebra (EI),Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"MW 1801, Ernst-Schmidt-Hörsaal (5508.02.801) ",27.02.2023,13:30  ,14:15
MA9409,Lineare Algebra (EI),Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,"MW 1801, Ernst-Schmidt-Hörsaal (5508.02.801) ",27.02.2023,14:15  ,15:45
MA9409,Lineare Algebra (EI),Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,"MW 1801, Ernst-Schmidt-Hörsaal (5508.02.801) ",27.02.2023,15:45  ,16:15
MA9413,Analysis 3 (EI),Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"1200, Carl-von-Linde-Hörsaal (0502.01.200) ",28.02.2023,07:15  ,08:00
MA9413,Analysis 3 (EI),Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,"1200, Carl-von-Linde-Hörsaal (0502.01.200) ",28.02.2023,08:00  ,09:30
MA9413,Analysis 3 (EI),Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,"1200, Carl-von-Linde-Hörsaal (0502.01.200) ",28.02.2023,09:30  ,10:00
MA9413,Analysis 3 (EI),Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"0980, Audimax (0509.EG.980) ",28.02.2023,07:15  ,08:00
MA9413,Analysis 3 (EI),Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,"0980, Audimax (0509.EG.980) ",28.02.2023,08:00  ,09:30
MA9413,Analysis 3 (EI),Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,"0980, Audimax (0509.EG.980) ",28.02.2023,09:30  ,10:00
MA9202,Prüfung zu Mathematik für Physiker 2 ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",03.03.2023,10:45  ,11:30
MA9202,Prüfung zu Mathematik für Physiker 2 ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",03.03.2023,11:30  ,13:00
MA9202,Prüfung zu Mathematik für Physiker 2 ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",03.03.2023,13:00  ,13:30
MA9202,Prüfung zu Mathematik für Physiker 2 ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",03.03.2023,10:45  ,11:30
MA9202,Prüfung zu Mathematik für Physiker 2 ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",03.03.2023,11:30  ,13:00
MA9202,Prüfung zu Mathematik für Physiker 2 ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",03.03.2023,13:00  ,13:30
MA9202,Prüfung zu Mathematik für Physiker 2 ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"004, Hörsaal 1 ""Interims II"" (5416.01.004) ",03.03.2023,10:45  ,11:30
MA9202,Prüfung zu Mathematik für Physiker 2 ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,"004, Hörsaal 1 ""Interims II"" (5416.01.004) ",03.03.2023,11:30  ,13:00
MA9202,Prüfung zu Mathematik für Physiker 2 ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,"004, Hörsaal 1 ""Interims II"" (5416.01.004) ",03.03.2023,13:00  ,13:30
